Store,Saleable Quantity,State
"Brainerd14546 Dellwood Dr N Baxter, MN 56425-9744",233,MN
"St Cloud East125 Lincoln Ave SE Saint Cloud, MN 56304-0823",4,MN
"St Cloud4201 W Division St Saint Cloud, MN 56301-6601",318,MN
"Cambridge215 Balsam St N Cambridge, MN 55008-5814",166,MN
"Monticello1447 E 7th St Monticello, MN 55362-4666",127,MN
"Otsego15800 87th St NE Otsego, MN 55330-6546",206,MN
"Las Cruces2541 E Lohman Ave Ste A, Las Cruces, NM 88011-8233",80,NM
"Sioux City5775 Sunnybrook Dr Sioux City, IA 51106-4247",238,IA
"El Paso West801 Sunland Park Dr El Paso, TX 79912-5209",77,TX
"El Paso Central6001 W Gateway Blvd El Paso, TX 79925-3416",97,TX
"El Paso East1901 George Dieter Dr El Paso, TX 79936-3855",125,TX
"El Paso Far East1874 Joe Battle Blvd El Paso, TX 79936-0962",16,TX
"Omaha Far NW16959 Evans Plaza Omaha, NE 68116-2388",7,NE
"Omaha NW4001 N 132nd St Omaha, NE 68164-1839",156,NE
"Omaha West17810 W Center Rd Omaha, NE 68130-2308",218,NE
"Omaha North6636 N 73rd Plz Omaha, NE 68122-1803",117,NE
"Omaha7200 Dodge St Omaha, NE 68114-3673",171,NE
"Duluth1902 Miller Trunk Hwy Duluth, MN 55811-1810",188,MN
"Andover2000 Bunker Lake Blvd NW Andover, MN 55304-4014",184,MN
"Coon Rapids3300 124th Ave NW Coon Rapids, MN 55433-3805",217,MN
"Blaine1500 109th Ave NE Blaine, MN 55449-4670",71,MN
"Champlin11990 Business Park Blvd N Champlin, MN 55316-2005",178,MN
"Lino Lakes749 Apollo Dr Lino Lakes, MN 55014-3035",211,MN
"Forest Lake356 12th St SW Forest Lake, MN 55025-1749",200,MN
"Northtown8600 Springbrook Dr NW Coon Rapids, MN 55433-6033",172,MN
"Rogers21615 S Diamond Lake Rd Rogers, MN 55374-8893",2,MN
"Maple Grove North15300 Grove Circle N Maple Grove, MN 55369-4469",254,MN
"Brooklyn Park7535 W Broadway Ave Brooklyn Park, MN 55428-1287",123,MN
"Fridley755 53rd Ave NE Fridley, MN 55421-1240",16,MN
"Brooklyn Center6100 Shingle Creek Pkwy Brooklyn Center, MN 55430-2110",104,MN
"Shoreview3800 Lexington Ave N Shoreview, MN 55126-2916",147,MN
"Crystal5537 W Broadway Ave Crystal, MN 55428-3507",173,MN
"Vadnais Heights975 County Road E Vadnais Heights, MN 55127-7114",158,MN
"Minneapolis NE1650 New Brighton Blvd Minneapolis, MN 55413-1643",178,MN
"Plymouth4175 Vinewood Ln N Plymouth, MN 55442-2624",0,MN
"Roseville T11515 County Road B W Roseville, MN 55113-6005",248,MN
"Lincoln SW8201 S 40th St Lincoln, NE 68516-3005",182,NE
"Lincoln South5330 S 56th St Lincoln, NE 68516-1833",136,NE
"Lincoln333 N 48th St Lincoln, NE 68504-3505",216,NE
